"filename", "language", "JavaScript JSX", "CSS", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\addEtymology.js", "JavaScript", 0, 0, 0, 21, 0, -2, 19
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\addGroup.js", "JavaScript", 0, 0, 0, -1, 0, -1, -2
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\addLanguage.js", "JavaScript", 0, 0, 0, 27, 0, 3, 30
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\addWord.js", "JavaScript", 0, 0, 0, 50, 0, 0, 50
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\editGroup.js", "JavaScript", 0, 0, 0, 65, 4, 14, 83
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\editLanguage.js", "JavaScript", 0, 0, 0, 57, 2, 5, 64
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\editWord.js", "JavaScript", 0, 0, 0, 112, 4, 15, 131
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getAllWords.js", "JavaScript", 0, 0, 0, 403, 9, 57, 469
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getCognates.js", "JavaScript", 0, 0, 0, 3, 0, 0, 3
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getDaughterLanguages.js", "JavaScript", 0, 0, 0, 4, 0, -4, 0
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getDerivations.js", "JavaScript", 0, 0, 0, -8, -3, -5, -16
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getDescendants.js", "JavaScript", 0, 0, 0, 9, 0, -2, 7
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getEtymology.js", "JavaScript", 0, 0, 0, 3, 0, 0, 3
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getGroups.js", "JavaScript", 0, 0, 0, 5, 0, -3, 2
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getLanguage.js", "JavaScript", 0, 0, 0, 33, 1, 0, 34
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getLanguageName.js", "JavaScript", 0, 0, 0, 3, 0, 0, 3
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getLanguages.js", "JavaScript", 0, 0, 0, 4, 0, 0, 4
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getWord.js", "JavaScript", 0, 0, 0, 4, 0, -4, 0
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getWordCategories.js", "JavaScript", 0, 0, 0, 74, 5, 16, 95
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getWordForms.js", "JavaScript", 0, 0, 0, 13, -3, -5, 5
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\login.js", "JavaScript", 0, 0, 0, 8, 0, -4, 4
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\register.js", "JavaScript", 0, 0, 0, 1, 0, -1, 0
"c:\Users\marca\Documents\GitHub\Elatha\backend\server.js", "JavaScript", 0, 0, 0, 4, -2, -6, -4
"c:\Users\marca\Documents\GitHub\Elatha\backend\vercel.json", "JSON", 0, 0, -1, 0, 0, 0, -1
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\App.css", "CSS", 0, 85, 0, 0, 2, 14, 101
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Components\EditLanguageModal.jsx", "JavaScript JSX", 101, 0, 0, 0, 4, 8, 113
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Components\EditWordModal.jsx", "JavaScript JSX", 985, 0, 0, 0, 0, 69, 1054
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Components\addEtymologyModal.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 0, 18
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Components\addLanguageModal.jsx", "JavaScript JSX", 103, 0, 0, 0, 4, 13, 120
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Components\addWordModal.jsx", "JavaScript JSX", 496, 0, 0, 0, 0, 22, 518
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Components\editGroupModal.jsx", "JavaScript JSX", 2037, 0, 0, 0, 0, 132, 2169
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Components\groupSelector.jsx", "JavaScript JSX", 98, 0, 0, 0, 1, 12, 111
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Components\languageSelector.jsx", "JavaScript JSX", 3, 0, 0, 0, 0, 0, 3
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Components\wordSelector.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 14
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Pages\dictionary.jsx", "JavaScript JSX", 1016, 0, 0, 0, 111, 2, 1129
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Pages\home.jsx", "JavaScript JSX", 12, 0, 0, 0, 0, 1, 13
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Pages\word.jsx", "JavaScript JSX", 200, 0, 0, 0, -6, 13, 207
"Total", "-", 5083, 85, -1, 894, 133, 359, 6553
