"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "XML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\addEtymology.js", "JavaScript", 114, 0, 0, 0, 0, 0, 0, 4, 23, 141
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\addGroup.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 5, 15, 82
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\addLanguage.js", "JavaScript", 110, 0, 0, 0, 0, 0, 0, 4, 18, 132
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\addWord.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 4, 15, 135
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\editGroup.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 4, 14, 83
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\editLanguage.js", "JavaScript", 148, 0, 0, 0, 0, 0, 0, 6, 25, 179
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\editWord.js", "JavaScript", 112, 0, 0, 0, 0, 0, 0, 4, 15, 131
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getAllWords.js", "JavaScript", 449, 0, 0, 0, 0, 0, 0, 13, 75, 537
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getCognates.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 8, 25, 134
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getDaughterLanguages.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 4, 14, 68
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getDerivations.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 6, 20, 119
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getDescendants.js", "JavaScript", 124, 0, 0, 0, 0, 0, 0, 9, 25, 158
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getEtymology.js", "JavaScript", 126, 0, 0, 0, 0, 0, 0, 9, 28, 163
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getGroups.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 4, 15, 69
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getLanguage.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 5, 18, 101
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getLanguageName.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 4, 14, 68
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getLanguages.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 14, 65
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getMotherLanguage.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 4, 16, 87
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getWord.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 4, 13, 66
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getWordCategories.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 5, 16, 95
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\getWordForms.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 1, 13, 76
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\login.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 8, 18, 98
"c:\Users\marca\Documents\GitHub\Elatha\backend\api\register.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 10, 16, 110
"c:\Users\marca\Documents\GitHub\Elatha\backend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 2204, 0, 0, 1, 2205
"c:\Users\marca\Documents\GitHub\Elatha\backend\package.json", "JSON", 0, 0, 0, 0, 0, 33, 0, 0, 1, 34
"c:\Users\marca\Documents\GitHub\Elatha\backend\server.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 6, 16, 127
"c:\Users\marca\Documents\GitHub\Elatha\backend\vercel.json", "JSON", 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"c:\Users\marca\Documents\GitHub\Elatha\frontend\README.md", "Markdown", 0, 0, 0, 0, 7, 0, 0, 0, 6, 13
"c:\Users\marca\Documents\GitHub\Elatha\frontend\eslint.config.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\marca\Documents\GitHub\Elatha\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 0, 2, 18
"c:\Users\marca\Documents\GitHub\Elatha\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 3435, 0, 0, 1, 3436
"c:\Users\marca\Documents\GitHub\Elatha\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 32, 0, 0, 1, 33
"c:\Users\marca\Documents\GitHub\Elatha\frontend\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\App.css", "CSS", 0, 0, 401, 0, 0, 0, 0, 4, 79, 484
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\App.jsx", "JavaScript JSX", 0, 27, 0, 0, 0, 0, 0, 1, 5, 33
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Components\EditLanguageModal.jsx", "JavaScript JSX", 0, 1019, 0, 0, 0, 0, 0, 4, 79, 1102
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Components\EditWordModal.jsx", "JavaScript JSX", 0, 985, 0, 0, 0, 0, 0, 0, 69, 1054
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Components\addEtymologyModal.jsx", "JavaScript JSX", 0, 307, 0, 0, 0, 0, 0, 1, 29, 337
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Components\addGroupModal.jsx", "JavaScript JSX", 0, 775, 0, 0, 0, 0, 0, 1, 58, 834
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Components\addLanguageModal.jsx", "JavaScript JSX", 0, 966, 0, 0, 0, 0, 0, 5, 79, 1050
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Components\addWordModal.jsx", "JavaScript JSX", 0, 915, 0, 0, 0, 0, 0, 0, 63, 978
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Components\editGroupModal.jsx", "JavaScript JSX", 0, 2037, 0, 0, 0, 0, 0, 0, 132, 2169
