"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "TypeScript", "JSON", "JSON Lines", "comment", "blank", "total"
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\addEtymology.js", "JavaScript", -114, 0, 0, 0, 0, 0, 0, -4, -23, -141
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\addGroup.js", "JavaScript", -62, 0, 0, 0, 0, 0, 0, -5, -15, -82
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\addLanguage.js", "JavaScript", -109, 0, 0, 0, 0, 0, 0, -4, -19, -132
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\addWord.js", "JavaScript", -128, 0, 0, 0, 0, 0, 0, -4, -18, -150
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\checkPermission.js", "JavaScript", -33, 0, 0, 0, 0, 0, 0, -3, -11, -47
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\checkPrivacy.js", "JavaScript", -36, 0, 0, 0, 0, 0, 0, -4, -13, -53
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\deleteGroup.js", "JavaScript", -27, 0, 0, 0, 0, 0, 0, -1, -9, -37
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\deleteLanguage.js", "JavaScript", -27, 0, 0, 0, 0, 0, 0, -1, -9, -37
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\deleteWord.js", "JavaScript", -27, 0, 0, 0, 0, 0, 0, -1, -9, -37
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\editGroup.js", "JavaScript", -96, 0, 0, 0, 0, 0, 0, -5, -13, -114
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\editLanguage.js", "JavaScript", -154, 0, 0, 0, 0, 0, 0, -6, -25, -185
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\editWord.js", "JavaScript", -141, 0, 0, 0, 0, 0, 0, -4, -20, -165
