"filename", "language", "JSON", "Markdown", "JavaScript JSX", "JavaScript", "PostCSS", "XML", "JSON Lines", "comment", "blank", "total"
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\addEtymology.js", "JavaScript", 0, 0, 0, 92, 0, 0, 0, 1, 19, 112
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\addGroup.js", "JavaScript", 0, 0, 0, 62, 0, 0, 0, 5, 15, 82
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\addInterfaceLanguage.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 1, 8, 46
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\addLanguage.js", "JavaScript", 0, 0, 0, 109, 0, 0, 0, 4, 19, 132
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\addNewSource.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 1, 11, 52
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\addText.js", "JavaScript", 0, 0, 0, 41, 0, 0, 0, 2, 12, 55
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\addWord.js", "JavaScript", 0, 0, 0, 151, 0, 0, 0, 2, 14, 167
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\changePassword.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 2, 8, 37
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\checkPermission.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 4, 11, 48
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\checkPrivacy.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 3, 11, 46
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\deleteEtymology.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 1, 13, 40
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\deleteGroup.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 1, 9, 37
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\deleteLanguage.js", "JavaScript", 0, 0, 0, 42, 0, 0, 0, 6, 21, 69
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\deleteSource.js", "JavaScript", 0, 0, 0, 35, 0, 0, 0, 2, 11, 48
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\deleteWord.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 1, 9, 37
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\editEtymology.js", "JavaScript", 0, 0, 0, 87, 0, 0, 0, 1, 19, 107
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\editGroup.js", "JavaScript", 0, 0, 0, 96, 0, 0, 0, 5, 13, 114
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\editInterfaceLanguage.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 1, 8, 43
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\editLanguage.js", "JavaScript", 0, 0, 0, 156, 0, 0, 0, 6, 25, 187
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\editSource.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 1, 12, 53
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\editText.js", "JavaScript", 0, 0, 0, 41, 0, 0, 0, 2, 10, 53
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\editUserLanguage.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 1, 8, 41
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\editWord.js", "JavaScript", 0, 0, 0, 164, 0, 0, 0, 2, 23, 189
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\getAllInterfaceLanguages.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 1, 9, 35
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\getAllLanguages.js", "JavaScript", 0, 0, 0, 39, 0, 0, 0, 6, 13, 58
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\getAllPhonologies.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 2, 6, 28
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\getAllWords.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 1, 13, 51
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\getAllWordsForPrint.js", "JavaScript", 0, 0, 0, 565, 0, 0, 0, 14, 95, 674
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\getCognates.js", "JavaScript", 0, 0, 0, 105, 0, 0, 0, 8, 25, 138
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\getCollabGroups.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 11, 45
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\getCollabLanguages.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 9, 43
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\getCorpus.js", "JavaScript", 0, 0, 0, 49, 0, 0, 0, 4, 15, 68
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\getDaughterLanguages.js", "JavaScript", 0, 0, 0, 50, 0, 0, 0, 4, 14, 68
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\getDerivations.js", "JavaScript", 0, 0, 0, 88, 0, 0, 0, 6, 15, 109
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\getDescendants.js", "JavaScript", 0, 0, 0, 124, 0, 0, 0, 6, 21, 151
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\getEtymology.js", "JavaScript", 0, 0, 0, 109, 0, 0, 0, 6, 25, 140
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\getFrequencyList.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 1, 6, 32
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\getGrammar.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 1, 8, 32
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\getGroup.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 1, 6, 32
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\getGroups.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 1, 9, 36
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\getInterfaceLanguage.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 8, 33
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\getInterfaceLanguages.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 1, 9, 36
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\getLanguage.js", "JavaScript", 0, 0, 0, 52, 0, 0, 0, 2, 17, 71
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\getLanguageName.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 1, 11, 38
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\getLanguages.js", "JavaScript", 0, 0, 0, 51, 0, 0, 0, 0, 14, 65
"c:\Users\awowi\Documents\GitHub\Elatha\backend\api-routes\getLoanerLanguage.js", "JavaScript", 0, 0, 0, 46, 0, 0, 0, 1, 11, 58
