etymology_id,word_id,first_element_id,second_element_id,note,uncertain,etymology_type,mother_word_id,loanword_id,third_element_id
1745973821031,1745973806191,,,,,fromMother,1745973775286,,
1745973949643,1745973895663,,,,,fromMother,1745973806191,,
1745974142496,1745973982136,,,,,fromMother,1745973895663,,
1745976814023,1745976376553,,,,,fromMother,1745976782568,,
1745978881935,1745976782568,,,,,fromMother,1745976754522,,
1745978918223,1745974230427,1745976376553,1745973895663,,,derived,,,
1745979363605,1745979338388,,,,,fromMother,1745974230427,,
1745979540255,1745979432260,,,,,fromMother,1745974230427,,
1745979902613,1745979847022,,,,,fromMother,1745979432260,,
1745979945159,1745979933379,,,,,fromMother,1745979847022,,
1745979979516,1745979964736,,,,,fromMother,1745979847022,,
1745980120891,1745980106521,,,,,fromMother,1745973806191,,
1745980200710,1745980188974,,,,,fromMother,1745980106521,,
1745980289950,1745980274479,,,,,fromMother,1745980188974,,
1745980409023,1745980392798,,,,,fromMother,1745980274479,,
1745980542955,1745980500971,1745980274479,,"Via the supine form <i>cabīlībi</i> ""wrapping, covering, concealing"".",,derived,,,
1745981106624,1745981093079,,,,,fromMother,1745980500971,,
1745981329979,1745981302706,,,,,fromMother,1745980500971,,
1745981446777,1745981423531,,,,,fromMother,1745981302706,,
1745981512598,1745981496768,,,,,fromMother,1745981302706,,
1745981617615,1745981597319,,,,,fromMother,1745980188974,,
1745981744372,1745981715539,1745981597319,1745981686993,,,derived,,,
1745981962049,1745981936659,1745981715539,1745981822356,,,derived,,,
1745982075504,1745982051930,,,,,fromMother,1745980188974,,
1745982234424,1745982220772,,,,,fromMother,1745982051930,,
1745982295648,1745982284146,,,,,fromMother,1745982220772,,
1745982359762,1745982342926,,,,,fromMother,1745982051930,,
1745982453745,1745982439735,,,,,fromMother,1745982342926,,
1745982500893,1745981686993,,,,,fromMother,1745982483567,,
1745982538535,1745982520761,1745980188974,1745982483567,,,derived,,,
1745982639116,1745982616420,1745982581583,1745982520761,,,derived,,,
1746043258140,1746042591871,,,The semantic shift is explained by the low flammability of aspen wood.,,fromMother,1746042412409,,
1746043434838,1746043422904,,,,,fromMother,1746042591871,,
1746043484519,1746043470360,,,,,fromMother,1746043422904,,
1746043526580,1746043508626,,,,,fromMother,1746043470360,,
1746043790450,1746043658824,1783535355827,1746043720362,"The suffix attached to the placename Avunkas, whose name is derived from avunvi, so named for it was the place where bronze was first made and distributed within Meilvarestu.",,derived,,,
1746043877902,1746043857355,,,,,fromMother,1746043658824,,
1746044530020,1746044516170,,,,,fromMother,1746043658824,,
1746045098091,1746044874935,,,,,fromMother,1746044516170,,
1746045142741,1746045126732,,,,,fromMother,1746043658824,,
1746045556046,1746045542285,,,,,fromMother,1746045126732,,
1746047678095,1746047662384,,,,,fromMother,1746045126732,,
1746047711065,1746047702048,,,,,fromMother,1746043658824,,
1746047885384,1746047864284,,,,,loaned,,1746047702048,
1746048021556,1746048004279,,,,,fromMother,1746043658824,,
1746048072697,1746048059693,,,,,loaned,,1746048004279,
1746048240336,1746048200814,1746043658824,,Via the inanimate feminine. Often shortened to avunkasuja.,,derived,,,
1746048282612,1746048273130,,,,,fromMother,1746048200814,,
1746048319987,1746048311960,,,,,fromMother,1746048200814,,
1746048436508,1746048423304,,,,,fromMother,1746048311960,,
1746048466759,1746048457203,,,,,fromMother,1746048311960,,
1746048500430,1746048488290,,,,,fromMother,1746048200814,,
1746048547440,1746048529010,,,,,loaned,,1746048488290,
1746048610618,1746048603085,,,,,fromMother,1746048529010,,
1746048635865,1746048626356,,,,,fromMother,1746048603085,,
1746048788094,1746048778544,,,,,fromMother,1746048603085,,
1746048867813,1746048817418,,,,,fromMother,1746048529010,,
